epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3201.47,0.72937,0.54892,0.9957,0.93177,0.83145,0.9072,0.76235,0.66271,0.46289,0.89263,2.94644e-05,2.94644e-05,2.94644e-05
40,3280.83,0.79362,0.62337,1.01478,0.92659,0.83566,0.90996,0.76382,0.66028,0.45885,0.89071,2.71082e-05,2.71082e-05,2.71082e-05
41,3358.24,0.81628,0.69253,0.97465,0.92971,0.83478,0.90732,0.75886,0.67227,0.46923,0.89462,2.4752e-05,2.4752e-05,2.4752e-05
42,3528.03,0.78706,0.64254,0.98115,0.9261,0.83291,0.90567,0.75571,0.68598,0.48509,0.90079,2.23958e-05,2.23958e-05,2.23958e-05
43,3615.01,0.77246,0.60434,0.97085,0.93225,0.83117,0.90475,0.75391,0.69278,0.49227,0.9028,2.00396e-05,2.00396e-05,2.00396e-05
44,3689.86,0.78242,0.63,0.98813,0.90864,0.83669,0.89927,0.75181,0.69564,0.49866,0.90343,1.76834e-05,1.76834e-05,1.76834e-05
45,3753.25,0.79176,0.5977,0.98511,0.91156,0.83492,0.89943,0.75302,0.69438,0.49779,0.90159,1.53272e-05,1.53272e-05,1.53272e-05
46,3816.39,0.75367,0.56986,0.98892,0.91528,0.83295,0.90133,0.75515,0.69102,0.49611,0.90027,1.2971e-05,1.2971e-05,1.2971e-05
47,3880.38,0.78595,0.61295,0.99424,0.92743,0.82653,0.90333,0.75401,0.69298,0.49749,0.90177,1.06148e-05,1.06148e-05,1.06148e-05
48,3953.92,0.75735,0.58896,0.97707,0.91978,0.83235,0.90188,0.75506,0.69057,0.49541,0.90084,8.2586e-06,8.2586e-06,8.2586e-06
49,4058.94,0.75067,0.56059,0.96173,0.90957,0.84039,0.90146,0.75365,0.69185,0.49505,0.90185,5.9024e-06,5.9024e-06,5.9024e-06
50,4136.57,0.76928,0.57588,0.97409,0.90519,0.84407,0.90212,0.7539,0.69229,0.49673,0.9018,3.5462e-06,3.5462e-06,3.5462e-06
